id,title,description,age_min,age_max,skills,format,setting,duration_min,added_year,notes
A001,Water play with measuring cups,"Pouring and comparing volumes using different-sized cups and containers. Ask: which holds more? How many small cups fill the big one?",3,5,math;science;sensory,solo-or-grouped,outdoor,30,2026,Works great with a water table or bin on the patio
A002,Nature scavenger hunt,"Give each child a list of things to find (something round, something rough, something alive). Compare finds at the end.",3,6,language;observation;science,grouped,outdoor,45,2026,Can be done in backyard or on a walk; adapt the list to age
A003,Color mixing with paint,"Start with primary colors only. Ask kids to predict what will happen before mixing. Document results on paper.",3,5,science;creativity;prediction,solo-or-grouped,indoor,30,2026,Tempera paint is easiest to clean up
A004,Story-retelling with toys,"Read a short book, then have the child re-enact the story using toys or stuffed animals. Ask: what happened first? Then what?",3,5,language;sequencing;memory,solo,indoor,20,2026,Works with any familiar book; encourage them to add their own ending
A005,Shape sorting and building,"Use blocks, cardboard cutouts, or household objects to sort by shape, then build something. Name the shapes as you go.",3,5,math;spatial;language,solo-or-grouped,indoor,25,2026,
A006,Lemonade stand math,"Set prices, count money, make change. Keep it simple (everything costs 25 cents or 50 cents to start).",5,8,math;money;social,grouped,outdoor,60,2026,Works best with a small neighborhood audience so transactions feel real
A007,Summer journal,"Write or draw one thing per week: something that happened, something you noticed, a question you have. No wrong answers.",5,9,writing;reflection;creativity,solo,indoor,15,2026,Drawings count fully; the habit matters more than the content
A008,Draw a map of the block,"Walk the block together first, then draw it from memory. What's on each corner? Where are your friends' houses?",5,8,spatial;observation;writing,solo-or-grouped,indoor,40,2026,Compare maps with neighborhood kids — differences are the interesting part
A009,Grow something and track it,"Plant a seed (bean or sunflower works fast). Measure height weekly, note changes, predict what comes next.",5,9,science;measurement;patience,solo,outdoor,15,2026,Takes the whole summer — start in early June. Works in a pot if no garden.
A010,Card and strategy games,"Go Fish, War, Uno, Sleeping Queens, or similar. Focus on turn-taking, counting, reading other players.",5,9,logic;math;social,grouped,indoor,30,2026,Uno and Sleeping Queens work well across the 5-8 age range together
A011,Backyard Olympics,"Design 4-6 simple events (long jump, bean bag toss, balance beam, sprint). Older kids plan and run events; younger kids compete.",3,9,physical;planning;social,neighborhood,outdoor,60,2026,Assign the 6-year-olds as event directors; give everyone a ribbon or sticker medal
A012,Play market,"Set up a store with priced items (toys, fruit, stickers). Older kids run the shop; younger kids shop with play money.",3,8,math;money;social;language,neighborhood,outdoor,45,2026,Use index cards as price tags; keep prices to whole numbers
A013,Photo walk,"Each child gets a theme (round things, red things, things that make you happy). Walk the neighborhood and photograph finds.",3,9,observation;creativity;language,neighborhood,outdoor,45,2026,Parents hold phones; review and name the photos together at the end
A014,Build challenge,"Same materials, open goal: tallest tower, widest bridge, a house for a specific toy. Brief debrief: what worked, what would you change?",4,9,engineering;spatial;planning,grouped,outdoor,45,2026,Cardboard, tape, and dry pasta are great materials. Popsicle sticks too.
A015,Sensory bin exploration,"Fill a bin with rice, sand, or dried beans. Hide small objects inside. Add cups, spoons, funnels.",3,4,sensory;math;fine-motor,solo-or-grouped,outdoor,30,2026,Best outside; rice and beans are easier to sweep than sand
A016,Pattern making with objects,"Create AB, AAB, ABC patterns using rocks, leaves, blocks, or stickers. Ask: what comes next?",3,5,math;logic;sequencing,solo-or-grouped,indoor,20,2026,
A017,Simple cooking or baking,"Follow a 3-step recipe (no-bake energy balls, fruit skewers, simple salad). Focus on measuring and sequencing.",5,9,math;science;following-instructions,grouped,indoor,45,2026,No-bake recipes are easiest; focus on the measuring and sequencing not the result
A018,Bug or bird journaling,"Spend 15 minutes in the yard or park observing one type of animal. Draw it, note what it was doing, look it up together.",6,10,science;observation;writing,solo-or-grouped,outdoor,30,2026,A cheap magnifying glass makes this much more engaging
A019,Sidewalk chalk math,"Write numbers, shapes, or equations on the driveway. Hop on answers, trace shapes, play number hopscotch.",4,7,math;physical;spatial,grouped,outdoor,30,2026,
A020,Neighborhood interview project,"Each child picks one neighbor or family member to interview (3 questions they write themselves). Report back to the group.",6,10,writing;social;language,solo,outdoor,60,2026,Takes two weekends: one to write questions and interview, one to share findings
